[ 2025-07-19 09:34:51,786 ] 17 root - INFO - Initiate the data ingestion
[ 2025-07-19 09:34:52,785 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-07-19 09:34:52,785 ] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-19 09:34:52,785 ] 67 root - INFO - Exporting train and test file path
[ 2025-07-19 09:34:52,821 ] 71 root - INFO - Exported train and test file path
[ 2025-07-19 09:34:52,821 ] 19 root - INFO - Data Initiation Completed
[ 2025-07-19 09:34:52,825 ] 23 root - INFO - Initiate the data validation
[ 2025-07-19 09:34:52,835 ] 30 root - INFO - Required number of columns: 2
[ 2025-07-19 09:34:52,835 ] 31 root - INFO - Data frame has columns: 31
[ 2025-07-19 09:34:52,835 ] 30 root - INFO - Required number of columns: 2
[ 2025-07-19 09:34:52,835 ] 31 root - INFO - Data frame has columns: 31
[ 2025-07-19 09:34:52,921 ] 25 root - INFO - data Validation Completed
[ 2025-07-19 09:34:52,922 ] 28 root - INFO - Data Transformation started
[ 2025-07-19 09:34:52,922 ] 53 root - INFO - Entered initiate_data_transformation method od DataTransformation class
[ 2025-07-19 09:34:52,932 ] 42 root - INFO - Entered get_data_transformer_object metho of Transformation class
[ 2025-07-19 09:34:52,933 ] 45 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-19 09:34:52,938 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-19 09:34:52,939 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-19 09:34:52,939 ] 31 root - INFO - Data Transformation completed
[ 2025-07-19 09:34:52,939 ] 34 root - INFO - Model Training started
[ 2025-07-19 09:37:16,497 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-19 09:37:16,517 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-19 09:37:16,517 ] 110 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/07_19_2025_09_34_51/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915202907328892, precision_score=0.9889246878775675, recall_score=0.9941295546558705), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.976629766297663, precision_score=0.9746317512274959, recall_score=0.9786359901396877))
[ 2025-07-19 09:37:16,517 ] 38 root - INFO - Model Training artifact created
